article_id,set,category,article_key,article_version_label,pre_acc_mean,pre_acc_sd,pre_acc_se,pre_acc_ci95,pre_acc_n,post_acc_mean,post_acc_sd,post_acc_se,post_acc_ci95,post_acc_n,kgain_mean,kgain_sd,kgain_se,kgain_ci95,kgain_n,normalized_gain_mean,normalized_gain_sd,normalized_gain_se,normalized_gain_ci95,normalized_gain_n,pre_idk_rate_mean,pre_idk_rate_sd,pre_idk_rate_se,pre_idk_rate_ci95,pre_idk_rate_n,post_idk_rate_mean,post_idk_rate_sd,post_idk_rate_se,post_idk_rate_ci95,post_idk_rate_n
29733,B,Health,news_0,news_0b,0.5833333333333333,0.3651483716701107,0.09128709291752768,0.17892270211835426,16,0.9166666666666667,0.17213259316477408,0.04303314829119352,0.0843449706507393,16,0.3333333333333333,0.3651483716701107,0.09128709291752768,0.17892270211835426,16,0.8027777777777777,0.3815064062989481,0.11013141318713222,0.21585756984677915,12,0.3020833333333333,0.3611645259640194,0.09029113149100484,0.1769706177223695,16,0.020833333333333332,0.05692750425533109,0.014231876063832773,0.027894477085112234,16
29733,B,Health,news_2,news_2b,0.5416666666666666,0.32489314482696546,0.08122328620674137,0.15919764096521308,16,0.9166666666666667,0.14907119849998596,0.03726779962499649,0.07304488726499311,16,0.375,0.3415650255319866,0.08539125638299665,0.16736686251067343,16,0.7730769230769231,0.345576441504737,0.09584565995674701,0.18785749351522416,13,0.23958333333333331,0.2719528145346787,0.06798820363366967,0.13325687912199255,16,0.0,0.0,0.0,0.0,16
29734,B,Space,news_0,news_0b,0.3541666666666667,0.3154949081000152,0.0788737270250038,0.15459250496900745,16,0.8541666666666667,0.17078251276599332,0.04269562819149833,0.08368343125533673,16,0.5,0.3701851388657263,0.09254628471643157,0.18139071804420587,16,0.6788888888888889,0.3791420278057779,0.09789405063593913,0.1918723392464407,15,0.46875,0.4046889523425963,0.10117223808564907,0.19829758664787217,16,0.041666666666666664,0.09622504486493762,0.024056261216234404,0.04715027198381943,16
29734,B,Space,news_2,news_2b,0.46874999999999994,0.2038404423217481,0.05096011058043703,0.09988181673765657,16,0.8958333333333334,0.14751020052613062,0.036877550131532655,0.072279998257804,16,0.4270833333333333,0.25797466140287095,0.06449366535071774,0.12640758408740677,16,0.78125,0.3010398644698074,0.07525996611745185,0.14750953359020563,16,0.35416666666666663,0.3435921354681384,0.0858980338670346,0.16836014637938782,16,0.03125,0.06718548123582124,0.01679637030895531,0.032920885805552406,16
29739,A,Health,news_0,news_0a,0.6145833333333334,0.3204091712748514,0.08010229281871285,0.1570004939246772,16,0.8958333333333333,0.1707825127659933,0.042695628191498324,0.08368343125533671,16,0.28125,0.27701283564324436,0.06925320891081109,0.13573628946518973,16,0.7076923076923076,0.565260321240781,0.15677500555529864,0.30727901088838533,13,0.22916666666666663,0.24247947603105774,0.060619869007764435,0.11881494325521828,16,0.010416666666666666,0.041666666666666664,0.010416666666666666,0.020416666666666666,16
29739,A,Health,news_2,news_2a,0.53125,0.32896442450908364,0.08224110612727091,0.16119256800945098,16,0.8958333333333333,0.18130187635645245,0.04532546908911311,0.0888379194146617,16,0.3645833333333333,0.28686524130097507,0.07171631032524377,0.14056396823747777,16,0.8071428571428572,0.30380171542550954,0.08119442375974661,0.15914107056910337,14,0.23958333333333331,0.21054382846263556,0.05263595711565889,0.10316647594669143,16,0.0,0.0,0.0,0.0,16
29753,B,Health,news_0,news_0b,0.35416666666666663,0.2644000896509065,0.06610002241272663,0.12955604392894418,16,0.84375,0.20609913112832828,0.05152478278208207,0.10098857425288085,16,0.48958333333333326,0.3303687614144511,0.08259219035361277,0.16188069309308104,16,0.6937500000000001,0.37755916877481066,0.09438979219370267,0.18500399269965723,16,0.47916666666666663,0.37453675090407057,0.09363418772601764,0.1835230079429946,16,0.041666666666666664,0.12909944487358055,0.03227486121839514,0.06325872798805447,16
29753,B,Health,news_2,news_2b,0.41666666666666663,0.24343224778007383,0.06085806194501846,0.11928180141223617,16,0.8333333333333334,0.19245008972987526,0.048112522432468816,0.09430054396763887,16,0.41666666666666663,0.29814239699997197,0.07453559924999299,0.14608977452998625,16,0.66875,0.38686178027434687,0.09671544506858672,0.18956227233442996,16,0.38541666666666663,0.3025738354946209,0.07564345887365523,0.14826117939236425,16,0.041666666666666664,0.07453559924999299,0.018633899812498248,0.036522443632496564,16
29775,A,Tech,news_0,news_0a,0.71875,0.24883990093290162,0.062209975233225405,0.1219315514571218,16,0.9375,0.1475102005261306,0.03687755013153265,0.07227999825780398,16,0.21875,0.2170402761735284,0.0542600690433821,0.10634973532502891,16,0.8863636363636364,0.25893137033865665,0.07807074562417123,0.1530186614233756,11,0.16666666666666666,0.17213259316477408,0.04303314829119352,0.0843449706507393,16,0.010416666666666666,0.041666666666666664,0.010416666666666666,0.020416666666666666,16
29775,A,Tech,news_2,news_2a,0.6666666666666666,0.38968173148333735,0.09742043287083434,0.1909440484268353,16,0.9375,0.13437096247164249,0.03359274061791062,0.06584177161110481,16,0.27083333333333337,0.3842983023449169,0.09607457558622923,0.18830616814900927,16,0.79,0.36040101122068025,0.11396880664852505,0.22337886103110907,10,0.2604166666666667,0.3799061775013716,0.0949765443753429,0.1861540269756721,16,0.020833333333333332,0.05692750425533109,0.014231876063832773,0.027894477085112234,16
29802,A,Humans,news_0,news_0a,0.5833333333333333,0.34960294939005054,0.08740073734751264,0.17130544520112476,16,0.9270833333333334,0.12123973801552888,0.03030993450388222,0.05940747162760915,16,0.34375,0.28847459609572657,0.07211864902393164,0.141352552086906,16,0.8794871794871795,0.17653478386575808,0.04896193962545721,0.09596540166589614,13,0.22916666666666666,0.25,0.0625,0.1225,16,0.020833333333333332,0.05692750425533109,0.014231876063832773,0.027894477085112234,16
